summary,L1,L2,L3,L4,L5
"""There appears to already be an instance of Compendium running.""",Reliability,Capability,Reliability,Reliability,Reliability
Cannot save an edit to a user profile.,Reliability,Capability,Usability,Capability,Capability
Restoring a backup breaks internal reference nodes,Migration,Capability,Usability,Capability,Capability
Right-click menu options to display tags and views,Usability,Usability,Usability,Requirements,Requirements
Option to apply a view's node formatting to all descendents,Usability,Usability,Usability,Usability,Usability
setting node date to year before 1995,Usability,Requirements,Usability,Usability,Usability
Cannot set a user-entered wrap width. It only works with the ones in the menu.,Usability,Usability,Usability,Capability,Usability
Cannot set a user-entered font size. It only works with the ones in the menu.,Usability,Usability,Usability,Capability,Usability
url Reference starting with www  do not get http:// prepended when exporting ...,Migration,Capability,Usability,Usability,Usability
Ability to automatically unzip zipped sql backup w/reference files  images  ...,Requirements,Requirements,Usability,Requirements,Requirements
Clicking a node in a map should ihghlight that node in the Outline view  if open,Usability,Usability,Usability,Usability,Usability
You should not be able to create a duplicate tag,Usability,Integrity/Security,Requirements,Usability,Usability
AutoWiki,Requirements,Requirements,Requirements,Requirements,Requirements
Upgraded nodes lose their text asterisk,Migration,Usability,Usability,Migration,Migration
'www' icon in Default does not have correct Shortcut icon,Usability,Usability,Usability,Usability,Usability
"Installation failure: ""Could not find the main class. Program will exit.""",Installability,Installability,Installability,Installability,Installability
Spurious message about toolbars.xml,Reliability,Reliability,Reliability,Reliability,Reliability
cut causes an error,Reliability,Capability,Reliability,Reliability,Reliability
Be able to specify the size to display user assigned node images.,Usability,Requirements,Usability,Requirements,Usability
menus appear on wrong monitor/screen  when used on multi-monitor computers,Usability,Usability,Usability,Usability,Usability
Link label text does not zoom,Usability,Capability,Usability,Capability,Usability
Make 'set as default project' available in the Project Management dialog,Usability,Usability,Usability,Usability,Usability
Text paste doesn't seem to work with Motif look and feel on Mac,Migration,Usability,Usability,Capability,Capability
Have wider node label settings than 50 characters,Usability,Usability,Usability,Usability,Usability
hostname management of linux systems,Reliability,Capability,Migration,Reliability,Reliability
Link labels should have the asme formatting options as Node labes,Usability,Usability,Usability,Usability,Installability
Label position -- top/left/right/bottom/center,Usability,Usability,Usability,Requirements,Usability
stencil side pane doesn't close if mutiple stencil sets were opened at once,Reliability,Usability,Usability,Capability,Capability
Delete all transclusion of a node,Requirements,Requirements,Requirements,Requirements,Requirements
Import option on Node right-click menu should give same options as Import opt...,Usability,Usability,Usability,Usability,Usability
Tile view windows,Requirements,Requirements,Usability,Requirements,Requirements
Multiple sets of settings for HTML format,Requirements,Requirements,Usability,Requirements,Requirements
Clean up formatting on right-click menu,Requirements,Usability,Usability,Usability,Usability
Choosing Tools...User Preferences...Map and Rollover changed the Icon Set!,Reliability,Capability,Usability,Capability,Capability
"Choosing ""Search Google"" from a Map label opened the wrong dialog",Reliability,Capability,Usability,Capability,Usability
New error message from export,Migration,Capability,Migration,Reliability,Usability
I want to know on inspecting a map which codes are being used on which nodes,Requirements,Usability,Usability,Usability,Requirements
Curvy link lines,Requirements,Requirements,Usability,Requirements,Requirements
Could not find the main class. Program will exit!,Installability,Installability,Usability,Installability,Installability
Outline Export Broken,Migration,Migration,Migration,Reliability,Reliability
"Search results in ""column '10' not found",Reliability,Migration,Usability,Capability,Usability
Slow closing of node contents dialog using OK button even if nothing changed,Performance,Performance,Usability,Performance,Performance
Node moves without touching at 75% view,Usability,Capability,Usability,Usability,Usability
Node label changes don't show in Working Tags Area,Usability,Capability,Usability,Usability,Usability
Editing stencil icon image does doesn't change new node icons,Usability,Capability,Usability,Usability,Usability
Node Transclusion Indicator - Wide tooltip in narrow window,Usability,Usability,Usability,Usability,Usability
Column '10' not found in search,Reliability,Capability,Usability,Reliability,Reliability
Highlight all nodes in the selected view which are found in a tag search.,Usability,Requirements,Capability,Usability,Usability
Stencils settings not remembered,Usability,Usability,Usability,Usability,Usability
Change to History toolbar when navigating using Views,Usability,Requirements,Usability,Capability,Usability
small icons behavior is inconsistent,Usability,Capability,Usability,Usability,Usability
nodes don't stay in original position,Usability,Capability,Usability,Capability,Usability
search only works on 'all views' context setting,Reliability,Usability,Usability,Reliability,Reliability
"Compendium license - Meaning of ""non commercial use""",Documentation,Documentation,Documentation,Documentation,Documentation
New tags mis-formatted on list,Usability,Usability,Usability,Capability,Usability
passwords less than five characters allowed,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security
non-administrators have administrator privileges,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security
users can delete themselves,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security,Integrity/Security
users created later cannot view pre-existing database,Reliability,Capability,Usability,Capability,Usability
tags in tag view  pull down menu don't stay in sync,Usability,Capability,Usability,Capability,Usability
Deleting or Cutting a node leaves it in the old view - PRECISE CONDITIONS,Reliability,Capability,Usability,Capability,Capability
Will not move or delete nodes that have multiple copies - a cause?,Reliability,Capability,Usability,Capability,Capability
Cannot move or delete nodes with multiple copies,Reliability,Capability,Usability,Capability,Capability
1) Nodes dont cut/delete properly NOW and 2) in 1.5.1 they are very very SLOW...,Reliability,Migration,Usability,Performance,Performance
Double paste occurs if Drag&Drop followed by mouse click,Usability,Capability,Usability,Usability,Usability
Using compendium and MySQL locally,Installability,Installability,Installability,Installability,Installability
Windows menu displays only three open windows,Usability,Requirements,Usability,Usability,Usability
Installation problem,Installability,Installability,Installability,Installability,Installability
Typo in ReadMe in distribution .dmg file  problems with bug reporting,Documentation,Usability,Documentation,Documentation,Documentation
Quick Start Movie should SAY where it plays,Usability,Usability,Installability,Usability,Usability
Allow multiple name selections for Send to Inbox Of,Requirements,Usability,Usability,Requirements,Requirements
Deleted nodes show up in search results,Reliability,Capability,Usability,Capability,Capability
Most of the maps in my home window report being in the home window twice,Usability,Capability,Capability,Capability,Capability
Views jump from Tags View leaves permanent display trash,Usability,Requirements,Usability,Usability,Usability
XML import from Atlas Problem,Migration,Capability,Migration,Capability,Capability
Icon field in List node's Contents window not formatted correctly,Usability,Usability,Usability,Usability,Usability
Images assigned as node icons not displayed correctly,Usability,Capability,Usability,Capability,Capability
Replacing a node's icon image results in distorted image.,Usability,Capability,Usability,Capability,Capability
Sometimes tag labels mis-align,Usability,Usability,Usability,Usability,Usability
Groupwear Refresh Timer runs even if on Derby,Capability,Capability,Usability,Capability,Capability
Project creation,Reliability,Usability,Installability,Installability,Usability
excercise 6,Documentation,Documentation,Usability,Documentation,Documentation
Node detail asterisk removed when cutting and pasting maps to sub-maps,Reliability,Capability,Usability,Capability,Usability
Closing Tag View does not clear Working Area rollover hints,Usability,Capability,Usability,Usability,Usability
Duplicate inbox,Reliability,Capability,Usability,Capability,Usability
"Where should I find the ""Current Log File""",Documentation,Documentation,Usability,Documentation,Documentation
Export to WEB Map does not include stencils for the list node,Migration,Capability,Usability,Usability,Usability
Could not start!,Installability,Installability,Installability,Installability,Installability
How about multi-byte character code as Japanese?,Usability,Usability,Requirements,Usability,Usability
Support for Fonts,Usability,Usability,Requirements,Usability,Usability
Compendium 1.5.2 - Linking issues with Tablet PC,Migration,Usability,Migration,Capability,Migration
Readers feature lists one user under another user's name,Reliability,Integrity/Security,Usability,Integrity/Security,Integrity/Security
Improved group support,Requirements,Capability,Usability,Requirements,Requirements
Unable to create MySQL Connection,Installability,Installability,Migration,Installability,Installability
Can't hit Enter/Return to open a new node after typing its label,Usability,Usability,Usability,Usability,Usability
Keyboard shortcuts to create new nodes,Usability,Usability,Usability,Usability,Usability
Cannot access a map,Reliability,Capability,Usability,Reliability,Reliability
Change the tags - node icon indicator list (alphabetic order),Usability,Usability,Usability,Usability,Usability
Exporting Web maps,Migration,Usability,Migration,Capability,Migration
Ctrl+Shift+Left in node label does wrong selection,Usability,Capability,Usability,Capability,Usability
A few issues with Help files: Node Label Preferences/Project Options/General ...,Reliability,Usability,Documentation,Reliability,Reliability
"System locks up - when printing ""Tools Menu""",Reliability,Performance,Usability,Reliability,Reliability
Dotted line links for cross-links,Usability,Usability,Requirements,Usability,Usability
Adjustable link line label placement,Usability,Usability,Usability,Usability,Usability
When adding images/icons to nodes  Compendium should automatically browse the...,Usability,Usability,Usability,Usability,Usability
Colour Palette,Usability,Usability,Usability,Usability,Usability
How does Compendium work with Leopard?,Documentation,Documentation,Migration,Documentation,Documentation
Compendium Database,Installability,Installability,Installability,Installability,Installability
Loss off links when selecting a node from the auto-search list after having c...,Reliability,Capability,Usability,Capability,Usability
MySQL New project creation problem,Installability,Installability,Installability,Installability,Installability
cannot get product started,Installability,Installability,Installability,Installability,Installability
Simple export and import of compendium files,Migration,Documentation,Migration,Migration,Migration
tag names in tag view misaligned when tagged > 10,Usability,Usability,Migration,Usability,Usability
Installation Problems,Integrity/Security,Installability,Installability,Installability,Installability
Running in Ubuntu 7.10,Installability,Installability,Installability,Installability,Installability
can't open,Installability,Installability,Installability,Installability,Installability
Download Failure,Installability,Installability,Installability,Installability,Installability
Remote MySQL for collaboration Issue - Project Table does not exist.,Reliability,Capability,Reliability,Reliability,Reliability
Porojects don't open in ubuntu Hardy AMD64,Installability,Installability,Installability,Installability,Installability
Export of multiple pages in Maps,Migration,Usability,Usability,Usability,Usability
HTML Export problem when using FireFox 3.0,Migration,Capability,Migration,Migration,Migration
Speel checker with autocorrect,Requirements,Usability,Usability,Usability,Requirements
All data in map node disappeared,Requirements,Integrity/Security,Usability,Reliability,Reliability
Scribble pad clears when connected to remote database due to refresh loop,Reliability,Usability,Usability,Usability,Usability
Optimize the web outline export for use with Word template,Migration,Requirements,Migration,Requirements,Requirements
Web Maps export options to remove details popups where only the node anchor a...,Migration,Requirements,Requirements,Requirements,Requirements
Web Maps export options to exclude node details popups altogether,Migration,Requirements,Requirements,Requirements,Requirements
Alt+Shift+Right in node label does not work for selecting text,Usability,Capability,Usability,Usability,Usability
Could we have a portable version of Compendium?,Requirements,Installability,Usability,Requirements,Requirements
How to save,Documentation,Documentation,Usability,Documentation,Documentation
Can't use launch button on Contents dialog for internal Reference nodes in an...,Reliability,Requirements,Usability,Reliability,Capability
contents/properties/views window resizes back to a default size at any change...,Usability,Usability,Usability,Usability,Usability
XML export to zip: reference file paths not correctly renamed if the same res...,Migration,Capability,Usability,Capability,Capability
Node background color gets lost during backup restore process,Usability,Integrity/Security,Usability,Usability,Usability
Back Arrow on Toolbar locks up Compendium,Reliability,Capability,Usability,Reliability,Reliability
How do I create new maps in my project?,Documentation,Documentation,Usability,Documentation,Documentation
Wrong link colour using Alt - and Alt+,Usability,Capability,Usability,Usability,Usability
./compendium.sh ...NoClassDefFoundError java/lang/System,Installability,Installability,Installability,Installability,Installability
Select multiple nodes and clone,Usability,Usability,Usability,Usability,Usability
Troubles wth cursor positioning in node labels,Usability,Usability,Usability,Usability,Usability
LaTeX Support,Requirements,Requirements,Migration,Requirements,Requirements
MAP NODE NOT RESPONDING,Reliability,Capability,Usability,Reliability,Reliability
List Node Header Spacing is not Remembered,Usability,Usability,Usability,Usability,Usability
Troubles wth cursor positioning in node labels,Usability,Usability,Usability,Usability,Usability
Add an 'Open' Button to the Search Reulsts Dialog,Requirements,Usability,Usability,Requirements,Requirements
Add node timespans to XML export / import,Requirements,Usability,Usability,Requirements,Requirements
Add timespans to backup / restore,Requirements,Integrity/Security,Usability,Requirements,Requirements
Right-click node timeline to view timespan properties,Usability,Usability,Usability,Usability,Usability
Double-click blank are of node timeline to create new 5 second timespan,Performance,Usability,Usability,Performance,Performance
add control areas to start and end of node timline timspan,Usability,Usability,Usability,Usability,Usability
Click in timespan on node timeline jumps movie to start of that span,Usability,Usability,Usability,Usability,Usability
Click anywhere on node timeline highlights the node on map (if it is currentl...,Usability,Usability,Usability,Usability,Usability
Fast node linking using arrow icons on node,Requirements,Usability,Usability,Usability,Usability
New node icon for MovieMap nodes,Requirements,Requirements,Usability,Requirements,Requirements
Clickin on node in map will highlight timeline,Usability,Usability,Requirements,Usability,Usability
Error message on trying to download Compendium,Installability,Installability,Installability,Installability,Usability
Unable to backup database,Reliability,Capability,Reliability,Reliability,Reliability
deleted nodes persist in MySQL,Capability,Capability,Capability,Capability,Capability
map (corrupted?) hangs Compendium,Reliability,Reliability,Usability,Reliability,Reliability
Spurious message about toolbars.xml,Capability,Reliability,Usability,Capability,Reliability
Closing project disables menu shortcuts,Usability,Usability,Usability,Usability,Requirements
Send to Jabber enabled when no project is open,Capability,Capability,Usability,Capability,Reliability
drag and drop externs files doesn't work on linux version,Capability,Capability,Migration,Capability,Migration
Crashes - Java runtime error,Installability,Installability,Installability,Installability,Installability
"""Table 'compendium.project' doesen't exist"" after Creating a Project in MySQL...",Installability,Installability,Migration,Installability,Installability
error at start-up,Installability,Installability,Installability,Installability,Installability
instalation problem,Installability,Installability,Installability,Installability,Installability
Can't run download of Compenium 1.5.3 alpha,Installability,Installability,Installability,Installability,Installability
starting problem on Ubuntu,Installability,Installability,Installability,Installability,Installability
Floating tooltip misplaced under Firefox,Usability,Usability,Migration,Capability,Usability
Ability to specify a default map background,Requirements,Requirements,Requirements,Requirements,Requirements
Unable to connect to Database on Ubuntu 64 bit,Reliability,Installability,Usability,Reliability,Reliability
Auto-detect if newer version of Compendium available for download,Requirements,Usability,Requirements,Requirements,Requirements
Negative yposition-values when importing from Excel,Migration,Capability,Usability,Capability,Capability
Single user tab - highlight Save button automatically,Requirements,Usability,Usability,Usability,Usability
"Site ""compendiuminstitute.org"" defaced ?",Documentation,Integrity/Security,Usability,Documentation,Documentation
Application not launching.,Installability,Installability,Installability,Installability,Installability
Copendium does not start,Installability,Installability,Installability,Installability,Installability
toolbars.xml error on Vista 64-bit,Installability,Installability,Installability,Installability,Installability
Make space with drag box alt goes wrong when zoomed,Capability,Capability,Capability,Usability,Usability
Aerial View Delete-Undo Bug,Capability,Capability,Capability,Capability,Capability
Compendium installed but will not open,Installability,Installability,Installability,Installability,Installability
Java Class load Proroblem,Installability,Installability,Installability,Installability,Installability
Line Formatting in Links,Usability,Usability,Usability,Requirements,Usability
Free Text (with RTF formatting) in map background,Requirements,Usability,Usability,Usability,Usability
Compendium will not open,Installability,Installability,Installability,Installability,Installability
Compendium 1.5.3 a5 generates inaccessible projects on openSUSE 11.2 64-bit L...,Installability,Capability,Installability,Capability,Installability
wont run in windows 7,Installability,Installability,Migration,Installability,Installability
Installation on Ubuntu 9.10,Installability,Installability,Installability,Installability,Installability
1.5.3 Alpha 5 does not load,Installability,Installability,Installability,Installability,Installability
Install package failed to download correctly.,Installability,Installability,Installability,Installability,Installability
Question regarding the licence,Documentation,Documentation,Documentation,Documentation,Documentation
Javaw not found,Installability,Installability,Installability,Installability,Installability
Find-as-you-type no longer appears to work when creating new nodes,Usability,Usability,Usability,Usability,Usability
Exception when opening a new map,Capability,Capability,Usability,Capability,Reliability
Search updates into lists,Requirements,Requirements,Usability,Requirements,Requirements
Maps not saving in Linux Ubuntu,Capability,Capability,Usability,Capability,Reliability
Compendium Update Checker,Capability,Usability,Usability,Requirements,Requirements
Download doesn't start,Installability,Capability,Installability,Installability,Installability
Deleting nodes based on stencils does not place them in the trash can,Capability,Usability,Usability,Usability,Usability
Export - Power Export - does not work,Capability,Capability,Migration,Capability,Capability
"Compendium window has set attribute ""always on top""",Usability,Usability,Usability,Usability,Usability
Hotkeys for zooming,Usability,Requirements,Usability,Usability,Usability
Circular / radial arrange option,Requirements,Requirements,Usability,Usability,Requirements
How to move Derby DB location?,Installability,Documentation,Usability,Documentation,Documentation
Main window always on top,Usability,Usability,Usability,Usability,Usability
HTML Export missing images if loaded in Word,Capability,Capability,Migration,Capability,Capability
Font changes in outline view but not in existing View,Capability,Usability,Usability,Capability,Capability
Windows 7 64 bit - Can't find Javaw,Installability,Installability,Installability,Installability,Installability
Downloading - set-up,Installability,Installability,Installability,Installability,Installability
Login to a project by double click on the project name,Usability,Usability,Usability,Usability,Usability
Error when creating and opening new map in old MySQL project,Migration,Capability,Migration,Migration,Migration
Installation problem  Compendium and Windows 7,Installability,Capability,Installability,Installability,Installability
how to set default link type,Usability,Documentation,Usability,Usability,Usability
Compendium fails to create schema once connected to MYSQL,Installability,Capability,Installability,Installability,Installability
